"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что регистрация невозможна без email, password или name.","342","Нельзя создать пользователя без обязательного поля","tests","2025-11-29","passed","2025-11-29","TestUserCreate","test_user_create","",""
"Проверяем, что пользователь с корректными логином и паролем может войти в систему.","429","Успешный вход зарегистрированного пользователя","tests","2025-11-29","passed","2025-11-29","TestUserLogin","test_user_login","",""
"Проверяем, что логин невозможен без email или password.","328","Нельзя авторизоваться без обязательного поля","tests","2025-11-29","passed","2025-11-29","TestUserLogin","test_user_login","",""
"Проверяем, что сервер возвращает ошибку при передаче несуществующего id ингредиента.","350","Нельзя создать заказ с невалидным id ингредиента","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
"Повторная регистрация с теми же данными должна вернуть ошибку.","344","Нельзя создать пользователя, который уже зарегистрирован","tests","2025-11-29","passed","2025-11-29","TestUserCreate","test_user_create","",""
"Проверяем, что логин невозможен без email или password.","415","Нельзя авторизоваться без обязательного поля","tests","2025-11-29","passed","2025-11-29","TestUserLogin","test_user_login","",""
"Проверяем, что гость может создать заказ с валидными ингредиентами.","355","Неавторизованный пользователь может создать заказ","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
"Проверяем, что сервер возвращает 400 Bad Request при отсутствии ингредиентов.","321","Нельзя создать заказ без списка ингредиентов","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
"Проверяем, что новый уникальный пользователь может быть успешно создан.","422","Успешное создание нового пользователя","tests","2025-11-29","passed","2025-11-29","TestUserCreate","test_user_create","",""
"Проверяем, что пользователь может получить список заказов после авторизации.","4244","Авторизованный пользователь может получить список своих заказов","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
"Проверяем, что запрос списка заказов без токена приводит к 401 Unauthorized.","364","Неавторизованный пользователь не может получить список заказов","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
"Проверяем, что при неправильном пароле сервер возвращает 401 Unauthorized.","446","Нельзя авторизоваться с неверным паролем","tests","2025-11-29","passed","2025-11-29","TestUserLogin","test_user_login","",""
"Проверяем, что попытка входа с несуществующей учетной записью приводит к ошибке.","338","Нельзя авторизоваться несуществующим пользователем","tests","2025-11-29","passed","2025-11-29","TestUserLogin","test_user_login","",""
"Проверяем, что регистрация невозможна без email, password или name.","336","Нельзя создать пользователя без обязательного поля","tests","2025-11-29","passed","2025-11-29","TestUserCreate","test_user_create","",""
"Проверяем, что регистрация невозможна без email, password или name.","325","Нельзя создать пользователя без обязательного поля","tests","2025-11-29","passed","2025-11-29","TestUserCreate","test_user_create","",""
"Проверяем, что авторизованный пользователь успешно создаёт заказ с валидными ингредиентами.","3459","Авторизованный пользователь может создать заказ","tests","2025-11-29","passed","2025-11-29","TestOrders","test_order_create","",""
